cik,companyName,stockSymbol,sector,industry,sic,sicCode
0001419806,Rare Element Resources Ltd,ree,Mining,"Metal, Mining",GOLD AND SILVER ORES,1040
0000804328,Qualcomm Inc/DE,qcom,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,3663
0001172136,Us Geothermal Inc,htm,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",ELECTRIC SERVICES,4911
0001433607,"InspireMD, Inc.",nspr,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841
0001168054,Cimarex Energy Co,xec,Mining,Oil And Gas Extraction,CRUDE PETROLEUM & NATURAL GAS,1311
0000007084,ARCHER-DANIELS-MIDLAND CO,adm,Manufacturing,Food And Kindred Products,FATS & OILS,2070
0001130310,CENTERPOINT ENERGY INC.,cnp,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",ELECTRIC SERVICES,4911
0000764478,"BEST BUY CO., INC.",bby,Retail Trade,"Home Furniture, Furnishings, And Equipment Stores","RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES",5731
0001145460,Alere Inc.,alr,Manufacturing,Chemicals And Allied Products,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,2835
0000721371,"Cardinal Health, Inc.",cah,Wholesale Trade,Wholesale Trade-non-durable Goods,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",5122
0000751085,"Magnetek, Inc.",mag,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment","ELECTRONIC COMPONENTS, NEC",3679
0000006769,APACHE CORPORATION,apa,Mining,Oil And Gas Extraction,CRUDE PETROLEUM & NATURAL GAS,1311
0001409431,Theron Resource Group,thro,Mining,"Metal, Mining",GOLD AND SILVER ORES,1040
0000010795,"Becton, Dickinson and Company",bdx,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841
0000915389,Eastman Chemical Co,emn,Manufacturing,Chemicals And Allied Products,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",2821
0000847464,"SPRING PHARMACEUTICAL GROUP, INC.",cyig,Manufacturing,Chemicals And Allied Products,PHARMACEUTICAL PREPARATIONS,2834
0001273813,ASSURED GUARANTY LTD,ago,"Finance, Insurance, And Real Estate",Insurance Carriers,SURETY INSURANCE,6351
0001497253,"Organovo Holdings, Inc.",onvo,Manufacturing,Chemicals And Allied Products,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836
0001451654,"Petrosonic Energy, Inc.",pson,Manufacturing,Petroleum Refining And Related Industries,PETROLEUM REFINING,2911
0000816159,Air Methods Corp,airm,"Transportation, Communications, Electric, Gas, And Sanitary Services",Transportation by Air,"AIR TRANSPORTATION, NONSCHEDULED",4522
0000879101,Kimco Realty Corp,kim,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0001000229,CORE LABORATORIES N.V.,clb,Mining,Oil And Gas Extraction,"OIL & GAS FIELD SERVICES, NEC",1389
0001144519,BUNGE LIMITED,bg,Manufacturing,Food And Kindred Products,FATS & OILS,2070
0000929887,APOLLO EDUCATION GROUP INC,apol,Services,Educational Services,SERVICES-EDUCATIONAL SERVICES,8200
0001379041,"Employers Holdings, Inc.",eig,"Finance, Insurance, And Real Estate",Insurance Carriers,"FIRE, MARINE & CASUALTY INSURANCE",6331
0001081938,"CANNAPHARMARX, INC.",cpmd,Manufacturing,Chemicals And Allied Products,PHARMACEUTICAL PREPARATIONS,2834
0000949699,Pharmacyclics Inc,pcyc,Manufacturing,Chemicals And Allied Products,PHARMACEUTICAL PREPARATIONS,2834
0001515115,Soul & Vibe Interactive Inc.,soul,Services,Business Services,SERVICES-PREPACKAGED SOFTWARE,7372
0000843006,Issuer Direct Corp,isdr,Manufacturing,"Printing, Publishing, And Allied Industries",COMMERCIAL PRINTING,2750
0000910612,"CBL & ASSOCIATES PROPERTIES, INC",cbl,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0001267238,"Assurant, Inc.",aiz,"Finance, Insurance, And Real Estate",Insurance Carriers,"INSURANCE CARRIERS, NEC",6399
0000701221,CIGNA Corporation,ci_holding,"Finance, Insurance, And Real Estate",Insurance Carriers,HOSPITAL & MEDICAL SERVICE PLANS,6324
0000874766,"THE HARTFORD FINANCIAL SERVICES GROUP, INC.",hig,"Finance, Insurance, And Real Estate",Insurance Carriers,"FIRE, MARINE & CASUALTY INSURANCE",6331
0000920148,LABORATORY CORPORATION OF AMERICA HOLDINGS,lh,Services,Health Services,SERVICES-MEDICAL LABORATORIES,8071
0001415684,MusclePharm Corp,mslp,Manufacturing,Chemicals And Allied Products,PHARMACEUTICAL PREPARATIONS,2834
0000026324,CURTISS WRIGHT CORP,cw,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT,3590
0001308161,"TWENTY-FIRST CENTURY FOX, INC.",foxa,"Transportation, Communications, Electric, Gas, And Sanitary Services",Communications,CABLE & OTHER PAY TELEVISION SERVICES,4841
0000945764,DENBURY INC.,dnr,Mining,Oil And Gas Extraction,CRUDE PETROLEUM & NATURAL GAS,1311
0000049600,"EASTGROUP PROPERTIES, INC.",egp,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0001297996,"DIGITAL REALTY TRUST, INC.",dlr,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0001328598,Invesco CURRENCYSHARES EURO TRUST,fxe,"Finance, Insurance, And Real Estate","Security And Commodity Brokers, Dealers, Exchanges, And Services",COMMODITY CONTRACTS BROKERS & DEALERS,6221
0000089439,"MUELLER INDUSTRIES, INC.",mli,Manufacturing,Primary Metal Industries,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,3350
0000808362,"Baker Hughes, a GE company, LLC",bhi,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,OIL & GAS FIELD MACHINERY & EQUIPMENT,3533
0001035201,California Water Service Group,cwt,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",WATER SUPPLY,4941
0000018926,"CENTURYLINK, INC.",ctl,"Transportation, Communications, Electric, Gas, And Sanitary Services",Communications,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),4813
0001104280,Sangui Biotech International Inc,sgbi,Manufacturing,Chemicals And Allied Products,PHARMACEUTICAL PREPARATIONS,2834
0001045609,"Prologis, Inc.",pld,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0000060667,"LOWE’S COMPANIES, INC",low,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,5211
0000931148,GRAFTECH INTERNATIONAL LTD.,gti,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",ELECTRICAL INDUSTRIAL APPARATUS,3620
0000883943,Christopher & Banks Corporation,cbk,Retail Trade,Apparel And Accessory Stores,RETAIL-WOMEN'S CLOTHING STORES,5621
0000911421,PARTNERRE LTD.,pre,"Finance, Insurance, And Real Estate",Insurance Carriers,ACCIDENT & HEALTH INSURANCE,6321
0000007332,Southwestern Energy Company,swn,Mining,Oil And Gas Extraction,CRUDE PETROLEUM & NATURAL GAS,1311
0000766704,WELLTOWER INC.,hcn,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0000065984,ENTERGY CORPORATION,etr,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",ELECTRIC SERVICES,4911
0000912750,"NEWFIELD EXPLORATION CO /DE/ ",nfx,Mining,Oil And Gas Extraction,CRUDE PETROLEUM & NATURAL GAS,1311
0000885639,KOHL’S CORP,kss,Retail Trade,General Merchandise Stores,RETAIL-DEPARTMENT STORES,5311
0000927628,CAPITAL ONE FINANCIAL CORP,cof,"Finance, Insurance, And Real Estate",Depository Institutions,NATIONAL COMMERCIAL BANKS,6021
0000883241,"SYNOPSYS, INC.",snps,Services,Business Services,SERVICES-PREPACKAGED SOFTWARE,7372
0000027419,Target Corp,tgt,Retail Trade,General Merchandise Stores,RETAIL-VARIETY STORES,5331
0001472595,R1 RCM INC.,ah,Services,"Engineering, Accounting, Research, Management, And Related Services",SERVICES-MANAGEMENT SERVICES,8741
0001501489,AF OCEAN INVESTMENT MANAGEMENT Co,afan,Services,"Engineering, Accounting, Research, Management, And Related Services",SERVICES-MANAGEMENT CONSULTING SERVICES,8742
0000034088,Exxon Mobil Corporation,xom,Manufacturing,Petroleum Refining And Related Industries,PETROLEUM REFINING,2911
0001110783,Monsanto Co /New/,mon,Manufacturing,Chemicals And Allied Products,AGRICULTURAL CHEMICALS,2870
0000800240,The ODP Corporation,odp,Retail Trade,Miscellaneous Retail,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES,5940
0001211524,Allied Resources Inc,alod,Mining,Oil And Gas Extraction,CRUDE PETROLEUM & NATURAL GAS,1311
0000891103,IAC/INTERACTIVECORP,iaci,Retail Trade,Miscellaneous Retail,"RETAIL-RETAIL STORES, NEC",5990
0000047217,HP INC.,hpq,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,COMPUTER & OFFICE EQUIPMENT,3570
0001163739,NABORS INDUSTRIES LTD.,nbr,Mining,Oil And Gas Extraction,DRILLING OIL & GAS WELLS,1381
0000095029,"STURM, RUGER & COMPANY, INC.",rgr,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment","ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)",3480
0000315852,RANGE RESOURCES CORPORATION,rrc,Mining,Oil And Gas Extraction,CRUDE PETROLEUM & NATURAL GAS,1311
0001282613,AMERICAN EAGLE ENERGY Corp,amzg,Mining,"Metal, Mining",METAL MINING,1000
0001051470,CROWN CASTLE INTERNATIONAL CORP.,cci,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0001084507,Arrayit Corp,aryc,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",LABORATORY ANALYTICAL INSTRUMENTS,3826
0000316206,"STARWOOD HOTEL & RESORTS WORLDWIDE, INC",hot,Services,"Hotels, Rooming Houses, Camps, And Other Lodging Places",HOTELS & MOTELS,7011
0001437106,"Ascent Capital Group, Inc.",ascma,Services,Business Services,SERVICES-MISCELLANEOUS BUSINESS SERVICES,7380
0001405495,"InterDigital, Inc.",idcc,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,PATENT OWNERS & LESSORS,6794
0000353944,International Game Technology,igt,Manufacturing,Miscellaneous Manufacturing Industries,MISCELLANEOUS MANUFACTURING INDUSTRIES,3990
0000820901,Arete Industries Inc,aret,Mining,Oil And Gas Extraction,CRUDE PETROLEUM & NATURAL GAS,1311
0000008858,"AVNET, INC.",avt,Wholesale Trade,Wholesale Trade-durable Goods,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC",5065
0001534675,Tecnoglass Inc.,tgls,Manufacturing,"Stone, Clay, Glass, And Concrete Products",FLAT GLASS,3211
0000753048,"Axion International Holdings, Inc.",axih,Manufacturing,Rubber And Miscellaneous Plastics Products,PLASTICS FOAM PRODUCTS,3086
0000827054,MICROCHIP TECHNOLOGY INCORPORATED,mchp,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",SEMICONDUCTORS & RELATED DEVICES,3674
0001370489,"Bluefire Renewables, Inc.",bfre,Manufacturing,Chemicals And Allied Products,INDUSTRIAL ORGANIC CHEMICALS,2860
0001347218,Targa Energy LP,te_priv,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",NATURAL GAS TRANSMISSION,4922
0001140098,"Ocata Therapeutics, Inc.",ocat,Manufacturing,Chemicals And Allied Products,PHARMACEUTICAL PREPARATIONS,2834
0001448597,Bullfrog Gold Corp.,bfgc,Mining,"Metal, Mining",METAL MINING,1000
0000886035,General Cable Corp /DE/,bgc,Manufacturing,Primary Metal Industries,DRAWING & INSULATING OF NONFERROUS WIRE,3357
0000884731,Ariad Pharmaceuticals Inc,aria,Manufacturing,Chemicals And Allied Products,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836
0000008328,"Applied Minerals, Inc.	",amnl,Mining,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),1400
0000934549,Acacia Research Corporation,actg,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,PATENT OWNERS & LESSORS,6794
0000005133,American Greetings Corp,am_priv,Manufacturing,"Printing, Publishing, And Allied Industries",GREETING CARDS,2771
0001486957,"BWX Technologies, Inc.",bwc,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,ENGINES & TURBINES,3510
0000934445,Eagle Mountain Corp,emtc,Wholesale Trade,Wholesale Trade-durable Goods,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC",5065
0000899629,Acadia Realty Trust,akr,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0001365555,"Amtrust Financial Services, Inc.",afsi,"Finance, Insurance, And Real Estate",Insurance Carriers,"FIRE, MARINE & CASUALTY INSURANCE",6331
0001001171,Broadway Financial Corp \De\,byfc,"Finance, Insurance, And Real Estate",Depository Institutions,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035
0001388319,"U.S. Stem Cell, Inc.",usrm,Services,"Engineering, Accounting, Research, Management, And Related Services",SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,8731
0001086909,"Broadsoft, Inc.",bsft,Services,Business Services,SERVICES-PREPACKAGED SOFTWARE,7372
0001405858,"Abtech Holdings, Inc.",abhd,Mining,"Metal, Mining",MISCELLANEOUS METAL ORES,1090
0000352991,Advanced Oxygen Technologies Inc,aoxy,"Finance, Insurance, And Real Estate",Real Estate,REAL ESTATE,6500
0001212641,Brinx Resources Ltd,bnxr,Mining,Oil And Gas Extraction,CRUDE PETROLEUM & NATURAL GAS,1311
0001499961,"Net Element, Inc.",nete,Services,Business Services,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,7374
0000946454,"Ballantyne Strong, Inc.",btn,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",PHOTOGRAPHIC EQUIPMENT & SUPPLIES,3861
0000027904,"DELTA AIR LINES, INC.",dal,"Transportation, Communications, Electric, Gas, And Sanitary Services",Transportation by Air,"AIR TRANSPORTATION, SCHEDULED",4512
0000018255,THE CATO CORP,cato,Retail Trade,Apparel And Accessory Stores,RETAIL-WOMEN'S CLOTHING STORES,5621
0001053112,Cablevision Systems Corp /NY,cvc,"Transportation, Communications, Electric, Gas, And Sanitary Services",Communications,CABLE & OTHER PAY TELEVISION SERVICES,4841
0000029989,Omnicom Group Inc.,omc,Services,Business Services,SERVICES-ADVERTISING AGENCIES,7311
0001346655,"Cmg Holdings Group, Inc.",cmgo,Services,Business Services,SERVICES-ADVERTISING,7310
0000024090,"CITIZENS, INC.",cia,"Finance, Insurance, And Real Estate",Insurance Carriers,LIFE INSURANCE,6311
0000759458,Canandaigua National Corp,cnnd,"Finance, Insurance, And Real Estate",Depository Institutions,NATIONAL COMMERCIAL BANKS,6021
0000014195,BRIGGS & STRATTON CORPORATION,bgg,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,ENGINES & TURBINES,3510
0000036047,"Corelogic, Inc.",clgx,Services,Business Services,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,7374
0001432001,American Sands Energy Corp.,amse,Mining,Oil And Gas Extraction,CRUDE PETROLEUM & NATURAL GAS,1311
0001330568,iShares Silver Trust,slv,"Finance, Insurance, And Real Estate","Security And Commodity Brokers, Dealers, Exchanges, And Services",COMMODITY CONTRACTS BROKERS & DEALERS,6221
0001318482,KIDOZ INC.,sgw,Services,Amusement And Recreation Services,SERVICES-AMUSEMENT & RECREATION SERVICES,7900
0000203527,"VARIAN MEDICAL SYSTEMS, INC.",var,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,3845
0000749647,Celsion CORP,clsn,Manufacturing,Chemicals And Allied Products,PHARMACEUTICAL PREPARATIONS,2834
0001201135,CREDIT ONE FINANCIAL INC.,cofi,Services,Business Services,SERVICES-ADVERTISING,7310
0001040593,"CARRIZO OIL & GAS, INC.",crzo,Mining,Oil And Gas Extraction,CRUDE PETROLEUM & NATURAL GAS,1311
0001042187,Yunhong CTI LTD.,ctib,Manufacturing,Rubber And Miscellaneous Plastics Products,"FABRICATED RUBBER PRODUCTS, NEC",3060
0001337182,Breezer Ventures Inc.,brzv,Retail Trade,Eating And Drinking Places,RETAIL-EATING PLACES,5812
0001108967,"CUI Global, Inc.",cui,Wholesale Trade,Wholesale Trade-durable Goods,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC",5065
0000869187,Baltia Air Lines Inc,blta,"Transportation, Communications, Electric, Gas, And Sanitary Services",Transportation by Air,"AIR TRANSPORTATION, SCHEDULED",4512
0001091862,Chemtura Corporation,chmt,Manufacturing,Chemicals And Allied Products,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)",2820
0000025232,Cousins Properties Inc,cuz,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0001037676,Arch Coal Inc.,aci,Mining,Coal Mining,BITUMINOUS COAL & LIGNITE SURFACE MINING,1221
0001524872,Thunder Energies Corporation,tnrg,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,BLANK CHECKS,6770
0000701719,Envela Corp,dgse,Retail Trade,Miscellaneous Retail,RETAIL-JEWELRY STORES,5944
0001321828,Data Call Technologies,dclt,Services,Business Services,"SERVICES-BUSINESS SERVICES, NEC",7389
0000723188,"COMMUNITY BANK SYSTEM, INC.",cbu,"Finance, Insurance, And Real Estate",Depository Institutions,NATIONAL COMMERCIAL BANKS,6021
0000896493,"DPW Holdings, Inc.",dpw,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment","ELECTRONIC COMPONENTS, NEC",3679
0001025877,Dcb Financial Corp,dcbf,"Finance, Insurance, And Real Estate",Depository Institutions,STATE COMMERCIAL BANKS,6022
0001300514,LAS VEGAS SANDS CORP.,lvs,Services,"Hotels, Rooming Houses, Camps, And Other Lodging Places",HOTELS & MOTELS,7011
0001424328,MULTIMEDIA PLATFORMS INC.,mmpw,Services,Business Services,SERVICES-PREPACKAGED SOFTWARE,7372
0001256540,East Coast Diversified Corp,ecdc,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,3663
0001366340,"FINJAN HOLDINGS, INC.",fnjn,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,PATENT OWNERS & LESSORS,6794
0001173313,American BriVision (Holding) Corp,mtoo,Wholesale Trade,Wholesale Trade-durable Goods,WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT,5084
0000911147,"CENTURY CASINOS, INC.",cnty,Services,"Hotels, Rooming Houses, Camps, And Other Lodging Places",HOTELS & MOTELS,7011
0000315858,Bluegreen Vacations Holding Corporation,bfcf,"Finance, Insurance, And Real Estate",Depository Institutions,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035
0001024626,"Cannabis Science, Inc.",cbis,Manufacturing,Chemicals And Allied Products,PHARMACEUTICAL PREPARATIONS,2834
0000935703,"DOLLAR TREE, INC.",dltr,Retail Trade,General Merchandise Stores,RETAIL-VARIETY STORES,5331
0000740260,"Ventas, Inc.",vtr,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0000805676,PARK NATIONAL CORPORATION,prk,"Finance, Insurance, And Real Estate",Depository Institutions,NATIONAL COMMERCIAL BANKS,6021
0000900075,"COPART, INC.",cprt,Retail Trade,Automotive Dealers And Gasoline Service Stations,RETAIL-AUTO DEALERS & GASOLINE STATIONS,5500
0001227930,Entropic Communications Inc,entr,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",SEMICONDUCTORS & RELATED DEVICES,3674
0000021510,"COHERENT, INC.",cohr,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",LABORATORY ANALYTICAL INSTRUMENTS,3826
0001410098,CorMedix Inc.,crmd,Manufacturing,Chemicals And Allied Products,PHARMACEUTICAL PREPARATIONS,2834
0001228386,TRANSATLANTIC CAPITAL INC.,taci,Services,"Engineering, Accounting, Research, Management, And Related Services",SERVICES-MANAGEMENT CONSULTING SERVICES,8742
0001343979,"CIRQUE ENERGY, INC.",crqe,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",SANITARY SERVICES,4950
0000917491,"FARO TECHNOLOGIES, INC",faro,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks","MEASURING & CONTROLLING DEVICES, NEC",3829
0001164012,CN Dragon Corp,drgn,Services,"Engineering, Accounting, Research, Management, And Related Services",SERVICES-MANAGEMENT CONSULTING SERVICES,8742
0001130808,SPIRE TECHNOLOGIES INC.,sptk,Mining,"Metal, Mining",METAL MINING,1000
0001387998,Snoogoo Corp.,sgoo,Mining,"Metal, Mining",METAL MINING,1000
0001254595,First Potomac Realty Trust,fpo,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,REAL ESTATE INVESTMENT TRUSTS,6798
0001429393,"Trutankless, Inc.",bolc,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",HOUSEHOLD APPLIANCES,3630
0001014763,Amarillo Biosciences Inc,amar,Manufacturing,Chemicals And Allied Products,PHARMACEUTICAL PREPARATIONS,2834
0000814549,"Ebix, Inc.",ebix,Services,Business Services,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,7373
0001373846,"China Internet Cafe Holdings Group, Inc.",cicc,Retail Trade,Miscellaneous Retail,RETAIL-NONSTORE RETAILERS,5960
0000808461,"GCI LIBERTY, INC.",gncma,"Transportation, Communications, Electric, Gas, And Sanitary Services",Communications,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),4813
0000278165,"Quest Solution, Inc.",ques,Services,Business Services,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,7373
0001281761,Regions Financial Corporation,rf,"Finance, Insurance, And Real Estate",Depository Institutions,NATIONAL COMMERCIAL BANKS,6021
0000721693,China Recycling Energy Corp,creg,Services,Business Services,"SERVICES-BUSINESS SERVICES, NEC",7389
0001315756,Tarsier Ltd.,taer,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",ELECTRIC LIGHTING & WIRING EQUIPMENT,3640
